nro_identificacion;bgi_30;acierta_plus;score_trview;edad_cliente;INGRESOS;cupo_max_TDC;tiene_telcos;tiene_real;tiene_coop;ant_max;ant_real;ant_telcos;meses_ultima_apr_tdc;meses_ultima_apr_cab;num_tdc;util_tdc_rot;cant_mora_30;cant_mora_60;telcos;ciudad_exp;entidad_cupo_max;nro_ahor_mer;nro_corr_mer;nro_cons_2m_tdc_mer;nro_cons_2m_cab_mer;sector_real
2946;0;829;126;32;4364000;14000000;0;1;0;2.50;2.08;-1.00;17,66666667;45,06666667;2;0;0;0;0;MANIZALES;SCOTIABANK COLPATRIA;0.00;8.00;0;2;1
2947;0;781;130;30;3892000;2600000;1;0;0;8.17;-1.00;1.83;38,93333333;19,7;3;0,425411432;0;0;1;ARMENIA;BANCO SERFINANZA S.A;5.00;4.00;0;2;0
2948;1;731;52;39;3403000;0;0;0;0;0.25;-1.00;-1.00;NULL;21,66666667;0;0;0;0;0;SANTA MARTA;;0.00;2.00;0;2;0
2949;1;573;126;35;3461000;1490000;1;1;0;5.92;0.25;3.58;89,7;NULL;1;0;0;0;2;BOGOTA D.C.;B. FALLABELLA;3.00;0.00;0;1;2
2950;1;782;100;30;2790000;2312000;1;1;0;7.75;1.25;4.67;54,16666667;NULL;3;0,09541404;0;0;2;BOGOTA D.C.;BCO COLPATRIA;0.00;4.00;0;0;1
2951;0;815;146;61;1871000;0;1;1;0;5.17;0.42;7.17;NULL;NULL;0;0;0;0;5;VILLAHERMOSA;;0.00;4.00;1;0;1
2952;1;713;126;43;9622000;11400000;1;1;0;14.58;15.67;9.67;22,7;27,8;7;0,424969781;0;0;3;MARMATO;BANCO PICHINCHA SA;0.00;4.00;0;0;2
2953;1;711;163;60;3776000;6591000;1;0;0;9.17;-1.00;6.58;26,76666667;21,66666667;3;0;0;0;1;TIMBIO;BCO COLPATRIA;0.00;4.00;0;2;0
2954;0;823;154;57;4239000;2500000;1;1;0;13.25;4.67;6.33;153,6;24,73333333;2;0,569655172;0;0;6;TIMANA;BANCO CAJA SOC;0.00;2.00;0;0;4
2955;0;817;140;56;14856000;5000000;0;1;0;2.83;0.42;-1.00;36,9;18,7;1;0,269746051;0;0;0;PUENTE NACIONAL;BBVA COLOMBIA;0.00;2.00;0;0;2
2956;0;819;134;52;2211000;1580000;0;0;0;9.58;-1.00;-1.00;132,2666667;NULL;1;0,323845667;0;0;0;BOGOTA D.C.;CREDIFACIL COLPATRIA;0.00;2.00;0;0;0
2957;0;816;113;NULL;4032000;5000000;1;0;1;2.92;-1.00;4.00;24,73333333;NULL;4;0,000470533;0;0;2;TULUA;B. FALLABELLA;0.00;4.00;0;2;0
2958;0;777;159;42;7618000;18700000;1;0;0;12.25;-1.00;4.50;21,66666667;55,2;2;0,608081609;0;0;2;MANIZALES;BANCOLOMBIA AME. EXP.;0.00;0.00;0;1;0
2959;0;833;126;56;1490000;0;1;1;0;-1.00;0.67;12.33;NULL;NULL;0;0;0;0;1;PASTO;;0.00;0.00;0;0;1
2960;0;768;160;51;3312000;9800000;1;0;0;7.75;-1.00;7.67;91,73333333;NULL;2;0,104340568;0;0;4;CONVENCION;B. FALLABELLA;0.00;2.00;0;2;0
2961;1;286;35;41;1581000;0;1;0;0;-1.00;-1.00;16.00;NULL;NULL;0;0;0;0;2;CIENAGA;;0.00;2.00;0;0;0
2962;1;1;1;54;1772000;0;0;1;0;-1.00;11.50;-1.00;NULL;NULL;0;0;0;0;0;GIRON;;0.00;2.00;2;1;1
2963;1;396;12;29;1780000;0;1;1;0;-1.00;7.58;1.00;NULL;NULL;0;0;0;0;1;FLORIDABLANCA;;0.00;4.00;0;1;1
2964;0;640;113;42;1821000;0;1;1;0;-1.00;0.92;3.58;NULL;NULL;0;0;0;0;4;PUERTO RICO;;0.00;0.00;0;0;3
2965;0;866;154;61;3196000;7200000;1;0;0;1.92;-1.00;5.75;41;NULL;2;0;0;0;1;ONZAGA;TUYA S.A.;0.00;0.00;0;1;0
2966;1;719;142;48;2550000;0;1;1;0;1.00;4.33;4.33;NULL;27,8;0;0;0;0;1;CAPITANEJO;;1.00;2.00;1;0;4
2967;0;736;102;46;3064000;3800000;0;1;0;9.50;0.33;-1.00;41;18,7;3;0,591398893;0;0;0;BOGOTA D.C.;CREDIFACIL COLPATRIA;0.00;0.00;0;1;6
2968;0;769;24;66;1159000;0;0;0;0;0.33;-1.00;-1.00;NULL;16,66666667;0;0;0;0;0;ITUANGO;;0.00;0.00;0;0;0
2969;0;718;120;60;1904000;1000000;0;0;0;10.83;-1.00;-1.00;151,5666667;21,66666667;1;0,836163836;0;0;0;GALAPA;BANCO SERFINANSA S.A;0.00;0.00;0;1;0
2970;1;687;15;28;1482000;0;0;1;0;-1.00;0.50;-1.00;NULL;NULL;0;0;0;0;0;TURBO;;0.00;4.00;0;1;4
2971;0;644;42;28;1374000;0;0;0;1;-1.00;-1.00;-1.00;NULL;NULL;0;0;0;0;0;YARUMAL;;0.00;2.00;1;3;0
2972;1;713;152;26;1366000;2000000;1;1;0;4.42;1.17;0.50;57,23333333;NULL;3;0,787404199;0;0;1;MEDELLIN;BCO DAVIVIENDA;0.00;0.00;0;0;5
2973;0;719;72;29;2848000;1500000;1;1;0;5.33;0.83;6.17;43,03333333;NULL;2;0,151053014;0;0;4;BOGOTA D.C.;BCO AVVILLAS MASTER CARD;0.00;2.00;0;0;2
2974;1;675;80;45;4836000;15000000;0;0;0;12.92;-1.00;-1.00;176,9666667;NULL;2;0,924594579;0;0;0;TOCAIMA;BCO DAVIVIENDA;0.00;0.00;1;0;0
2975;1;709;28;54;3229000;4120000;0;0;0;2.83;-1.00;-1.00;25,76666667;25,76666667;6;0,696141368;0;0;0;YACOPI;B. FALLABELLA;3.00;2.00;0;1;0
2976;0;599;12;27;1631000;2180000;1;1;0;6.25;0.42;0.67;95,73333333;22,7;1;0,93214122;0;0;3;BOGOTA D.C.;TUYA S.A.;0.00;2.00;0;1;2
2977;0;705;44;30;3254000;1850000;1;1;0;7.42;1.50;4.83;103,9;25,76666667;3;0,913143095;0;0;3;MELGAR;BCO DE BOGOTA;0.00;2.00;0;2;2
2978;1;790;66;49;1821000;4274000;0;0;0;9.00;-1.00;-1.00;53,16666667;NULL;3;0,85377892;0;0;0;TENJO;TUYA S.A.;0.00;6.00;0;1;0
2979;0;750;57;40;3999000;3000000;1;1;0;14.00;2.25;4.42;17,66666667;17,66666667;3;0,207143806;0;0;3;SASAIMA;BCO DE BOGOTA;3.00;2.00;0;3;3
2980;1;440;12;48;2633000;2400000;1;1;0;2.00;1.50;0.92;33,83333333;NULL;1;0,897542691;1;0;1;CALI;Ame. Express Bco Colpatria;0.00;4.00;0;0;3
2981;0;830;163;55;1457000;1650000;0;0;1;3.00;-1.00;-1.00;35,9;NULL;2;0,001214083;0;0;0;BOGOTA D.C.;CREDIFACIL COLPATRIA;0.00;0.00;0;0;0
2982;1;732;55;34;3502000;3500000;1;1;0;10.08;11.83;6.83;15,63333333;31,86666667;5;0,87;0;0;2;CALI;BCO FINANDINA;3.00;4.00;0;2;6
2983;0;727;48;66;3585000;3800000;0;0;0;0.33;-1.00;-1.00;19,7;NULL;1;0,964219942;0;0;0;GIRARDOT;BANCOLOMBIA VISA;0.00;0.00;0;2;0
2984;0;686;18;51;3105000;2000000;0;1;0;1.42;1.33;-1.00;26,76666667;NULL;2;0,56864564;0;0;0;ANDALUCIA;BANCO SERFINANSA S.A;0.00;6.00;1;1;1
2985;0;840;130;76;1722000;1500000;0;0;0;0.42;-1.00;-1.00;24,73333333;NULL;1;0;0;0;0;BUGALAGRANDE;BANCO SERFINANSA S.A;0.00;2.00;0;0;0
2986;0;795;136;37;1424000;0;0;1;0;-1.00;1.92;-1.00;NULL;NULL;0;0;0;0;0;CAJAMARCA;;0.00;2.00;0;0;1
2987;0;718;80;40;2749000;2000000;0;1;0;1.50;0.67;-1.00;24,73333333;25,76666667;2;0,048271922;0;0;0;CONVENCION;BANCO CAJA SOC;0.00;2.00;0;0;1
2988;1;598;17;56;2119000;1100000;1;0;1;2.92;-1.00;0.92;41;NULL;1;0,120096077;2;2;2;EL ZULIA;BANCO SERFINANSA S.A;0.00;4.00;1;0;0
2989;1;394;35;52;1465000;0;1;1;0;11.75;6.92;1.50;NULL;NULL;0;0;0;0;1;SANTA MARTA;;0.00;0.00;0;0;2
